"","term","estimate","std.error","statistic","p.value"
"1","ENSG00000108443.14",-1.00393245215742,0.345662108563217,-2.90437518977817,0.00367986889496841
"2","ENSG00000108423.15",0.927961090240739,0.363724244510081,2.55127642505838,0.0107329161676933
"3","ENSG00000147485.13",0.504464430018245,0.0952194524344008,5.29791357880138,1.1713337776859e-07
"4","ENSG00000105245.9",-0.929459540646744,0.215097403516136,-4.3211099969276,1.55246253996916e-05
"5","ENSG00000126353.3",0.497572074170001,0.167546188171416,2.96976063496555,0.00298031873585519
"6","ENSG00000138777.20",0.137685778844836,0.172511775409073,0.798123945558759,0.424798566859125
"7","ENSG00000052850.8",0.32864062793749,0.066705293834322,4.92675482029575,8.36065560316517e-07
"8","ENSG00000141959.17",0.574963563073616,0.195811913672158,2.93630531611197,0.00332147234126289
"9","ENSG00000181481.14",0.462126888716532,0.117820516028591,3.92229557545299,8.77093011668776e-05
"10","ENSG00000090989.18",0.408524635226459,0.171679565253999,2.37957636147348,0.0173325514605419
"11","ENSG00000128394.17",-0.728780631549331,0.137504002861546,-5.30006848079287,1.15759253378989e-07
"12","ENSG00000131080.15",0.661786092047758,0.151955762696974,4.35512336157646,1.32992000611968e-05
"13","ENSG00000102144.15",0.559829450600634,0.149653784881009,3.74083055130051,0.000183413150541742
"14","ENSG00000152705.8",0.843972509611995,0.14148085467836,5.96527715025942,2.44219153151995e-09
"15","ENSG00000174327.7",-0.698200979560156,0.194506456678431,-3.58960309844346,0.000331181829629411
"16","ENSG00000142185.16",0.282179693143422,0.134702718511777,2.09483294963161,0.0361858449551743
"17","ENSG00000148288.13",0.715382649505127,0.142626957066602,5.01576044401668,5.28241135784195e-07
"18","ENSG00000137210.14",-0.482266324997568,0.212398265826924,-2.27057562414633,0.0231726804811924
"19","ENSG00000110958.16",0.0635755395305921,0.155029330322669,0.410087171235725,0.681742003065916
"20","ENSG00000139055.7",-1.17106127848417,0.312968224387938,-3.7417897001345,0.000182714388710687
"21","ENSG00000135318.12",0.264503418058637,0.124516836106393,2.12423818601231,0.0336502316318944
"22","ENSG00000184515.11",-0.601274160134565,0.187330411406191,-3.20969860484006,0.00132874217267441
"23","ENSG00000039537.14",0.361727243423557,0.094867762987035,3.81296271814686,0.000137310831698028
"24","ENSG00000130707.18",0.0169696008888846,0.131400190366882,0.129144416317083,0.897243377117332
"25","ENSG00000137843.12",0.473343546946113,0.11517970550675,4.1096089355635,3.96329718873673e-05
"26","ENSG00000143183.18",-0.0133357320755531,0.148769377909246,-0.0896403027489185,0.928573056346588
"27","ENSG00000170891.11",0.582205317121194,0.119711031239764,4.86342245231454,1.1537323930597e-06
"28","ENSG00000166387.13",0.362467971521598,0.103074536912221,3.51656172688195,0.000437174993431082
"29","ENSG00000111696.12",-0.730650536283568,0.248931266417589,-2.93514971742393,0.00333386785830263
"30","ENSG00000149480.7",-0.396116138594636,0.145016465505982,-2.7315252596492,0.00630419082060122
"31","ENSG00000213741.11",-0.760911982062725,0.18953427267058,-4.01464057840995,5.95364505198733e-05
"32","ENSG00000141449.15",-0.785594655023111,0.212090237133821,-3.70405854432342,0.00021217725658794
"33","ENSG00000163900.11",0.545121457924836,0.141609668741554,3.84946496075571,0.000118376115126946
"34","ENSG00000131100.13",0.166400305884234,0.145686173260334,1.14218324333967,0.253377859635079
"35","ENSG00000228630.5",0.397531421423009,0.10974412380172,3.62234812809885,0.000291940865021319
"36","ENSG00000171951.5",0.210504873190983,0.0516704616952197,4.07398862492568,4.62147397254394e-05
"37","ENSG00000148296.7",0.346663403429164,0.1438651745251,2.40964086390957,0.0159682304486111
"38","ENSG00000162664.17",-0.644453653212865,0.178917096670592,-3.60196797961338,0.000315817272203933
"39","ENSG00000162512.16",-0.312002989384175,0.161687534765356,-1.929666314951,0.0536481962653005
"40","ENSG00000232119.8",0.508986630430057,0.169161543122964,3.0088790929276,0.00262213444181138
"41","ENSG00000124343.14",-0.0445276024226415,0.11283571392162,-0.394623305645693,0.6931209111964
"42","ENSG00000161267.12",0.287443398390155,0.133150667385538,2.15878300900935,0.0308670052708302
"43","ENSG00000171903.16",-0.918502128749747,0.283758648301789,-3.23691325091485,0.00120830136641108
"44","age_at_diagnosis_years",0.0107196897564346,0.0100921116686231,1.06218501225691,0.288151702522799
